date,symbol,price
2017-02-13,PFE,32.610001
2017-02-13,IVR,15.53
2017-02-13,VZ,48.549999
2017-02-10,GRPN,3.58
2017-02-10,AAPL,132.119995
2017-02-10,PFE,32.349998
2017-02-10,IVR,15.38
2017-02-10,VZ,48.98
2017-02-09,GRPN,3.61
2017-02-09,AAPL,132.419998
2017-02-09,PFE,32.380001
2017-02-09,IVR,15.21
2017-02-09,VZ,48.810001
2017-02-08,GRPN,3.54
2017-02-08,AAPL,132.039993
2017-02-08,PFE,32.139999
2017-02-08,IVR,14.97
2017-02-08,VZ,48.369999
2017-02-07,GRPN,3.5
2017-02-07,AAPL,131.529999
2017-02-07,PFE,32.080002
2017-02-07,IVR,14.97
2017-02-07,VZ,48.040001
2017-02-06,GRPN,3.55
2017-02-06,AAPL,130.289993
2017-02-06,PFE,32.23
2017-02-06,IVR,15.07
2017-02-06,VZ,48.029999
2017-02-03,GRPN,3.5
2017-02-03,AAPL,129.080002
2017-02-03,PFE,32.09
2017-02-03,IVR,14.89
2017-02-03,VZ,48.580002
2017-02-02,GRPN,3.52
2017-02-02,AAPL,128.529999
2017-02-02,PFE,31.73
2017-02-02,IVR,14.8
2017-02-02,VZ,48.279999
2017-02-01,GRPN,3.47
2017-02-01,AAPL,128.75
2017-02-01,PFE,31.67
2017-02-01,IVR,14.6
2017-02-01,VZ,48.389999
2017-01-31,GRPN,3.45
2017-01-31,AAPL,121.349998
2017-01-31,PFE,31.73
2017-01-31,IVR,14.57
2017-01-31,VZ,49.009998
2017-01-30,GRPN,3.4
2017-01-30,AAPL,121.629997
2017-01-30,PFE,31.309999
2017-01-30,IVR,14.59
2017-01-30,VZ,49.369999
2017-01-27,GRPN,3.45
2017-01-27,AAPL,121.949997
2017-01-27,PFE,31.42
2017-01-27,IVR,14.82
2017-01-27,VZ,49.599998
2017-01-26,GRPN,3.43
2017-01-26,AAPL,121.940002
2017-01-26,PFE,31.280001
2017-01-26,IVR,14.81
2017-01-26,VZ,49.119999
2017-01-25,GRPN,3.49
2017-01-25,AAPL,121.879997
2017-01-25,PFE,31.290001
2017-01-25,IVR,14.81
2017-01-25,VZ,49.77
2017-01-24,GRPN,3.49
2017-01-24,AAPL,119.970001
2017-01-24,PFE,31.15
2017-01-24,IVR,14.83
2017-01-24,VZ,50.119999
2017-01-23,GRPN,3.47
2017-01-23,AAPL,120.080002
2017-01-23,PFE,31.459999
2017-01-23,IVR,14.82
2017-01-23,VZ,52.41
2017-01-20,GRPN,3.45
2017-01-20,AAPL,120
2017-01-20,PFE,31.77
2017-01-20,IVR,14.79
2017-01-20,VZ,52.720001
2017-01-19,GRPN,3.51
2017-01-19,AAPL,119.779999
2017-01-19,PFE,31.700001
2017-01-19,IVR,14.78
2017-01-19,VZ,52.360001
2017-01-18,GRPN,3.51
2017-01-18,AAPL,119.989998
2017-01-18,PFE,32.029999
2017-01-18,IVR,14.84
2017-01-18,VZ,52.25
2017-01-17,GRPN,3.54
2017-01-17,AAPL,120
2017-01-17,PFE,32.060001
2017-01-17,IVR,14.82
2017-01-17,VZ,52.740002
2017-01-13,GRPN,3.58
2017-01-13,AAPL,119.040001
2017-01-13,PFE,32.52
2017-01-13,IVR,14.86
2017-01-13,VZ,52.549999
2017-01-12,GRPN,3.57
2017-01-12,AAPL,119.25
2017-01-12,PFE,32.599998
2017-01-12,IVR,14.81
2017-01-12,VZ,52.68
2017-01-11,GRPN,3.5
2017-01-11,AAPL,119.75
2017-01-11,PFE,32.830002
2017-01-11,IVR,14.85
2017-01-11,VZ,52.459999
2017-01-10,GRPN,3.52
2017-01-10,AAPL,119.110001
2017-01-10,PFE,33.439999
2017-01-10,IVR,14.89
2017-01-10,VZ,52.759998
2017-01-09,GRPN,3.52
2017-01-09,AAPL,118.989998
2017-01-09,PFE,33.470001
2017-01-09,IVR,14.81
2017-01-09,VZ,52.68
2017-01-06,GRPN,3.53
2017-01-06,AAPL,117.910004
2017-01-06,PFE,33.48
2017-01-06,IVR,14.95
2017-01-06,VZ,53.259998
2017-01-05,GRPN,3.66
2017-01-05,AAPL,116.610001
2017-01-05,PFE,33.610001
2017-01-05,IVR,15
2017-01-05,VZ,54.639999
2017-01-04,GRPN,3.51
2017-01-04,AAPL,116.019997
2017-01-04,PFE,33.290001
2017-01-04,IVR,14.93
2017-01-04,VZ,54.52
2017-01-03,GRPN,3.5
2017-01-03,AAPL,116.150002
2017-01-03,PFE,33
2017-01-03,IVR,14.79
2017-01-03,VZ,54.580002
2016-12-30,GRPN,3.32
2016-12-30,AAPL,115.82
2016-12-30,PFE,32.48
2016-12-30,IVR,14.6
2016-12-30,VZ,53.380001
2016-12-29,GRPN,3.33
2016-12-29,AAPL,116.730003
2016-12-29,PFE,32.490002
2016-12-29,IVR,14.81
2016-12-29,VZ,53.740002
2016-12-28,GRPN,3.5
2016-12-28,AAPL,116.760002
2016-12-28,PFE,32.349998
2016-12-28,IVR,14.51
2016-12-28,VZ,53.439999
2016-12-27,GRPN,3.6
2016-12-27,AAPL,117.260002
2016-12-27,PFE,32.529999
2016-12-27,IVR,14.62
2016-12-27,VZ,53.639999
2016-12-23,GRPN,3.52
2016-12-23,AAPL,116.519997
2016-12-23,PFE,32.48
2016-12-23,IVR,14.69
2016-12-23,VZ,53.68
2016-12-22,GRPN,3.52
2016-12-22,AAPL,116.290001
2016-12-22,PFE,32.34
2016-12-22,IVR,14.71
2016-12-22,VZ,53.650002
2016-12-21,GRPN,3.61
2016-12-21,AAPL,117.059998
2016-12-21,PFE,32.400002
2016-12-21,IVR,15.23
2016-12-21,VZ,52.970001
2016-12-20,GRPN,3.64
2016-12-20,AAPL,116.949997
2016-12-20,PFE,32.849998
2016-12-20,IVR,15.13
2016-12-20,VZ,53.119999
2016-12-19,GRPN,3.59
2016-12-19,AAPL,116.639999
2016-12-19,PFE,32.830002
2016-12-19,IVR,15.33
2016-12-19,VZ,52.91
2016-12-16,GRPN,3.62
2016-12-16,AAPL,115.970001
2016-12-16,PFE,32.84
2016-12-16,IVR,14.79
2016-12-16,VZ,52.27
2016-12-15,GRPN,3.59
2016-12-15,AAPL,115.82
2016-12-15,PFE,32.75
2016-12-15,IVR,14.39
2016-12-15,VZ,51.810001
2016-12-14,GRPN,3.64
2016-12-14,AAPL,115.190002
2016-12-14,PFE,32.82
2016-12-14,IVR,14.9
2016-12-14,VZ,51.630001
2016-12-13,GRPN,3.76
2016-12-13,AAPL,115.190002
2016-12-13,PFE,32.830002
2016-12-13,IVR,15.04
2016-12-13,VZ,52.360001
2016-12-12,GRPN,3.78
2016-12-12,AAPL,113.300003
2016-12-12,PFE,32.400002
2016-12-12,IVR,15.75
2016-12-12,VZ,51.759998
2016-12-09,GRPN,3.87
2016-12-09,AAPL,113.949997
2016-12-09,PFE,31.700001
2016-12-09,IVR,15.76
2016-12-09,VZ,51.490002
2016-12-08,GRPN,3.89
2016-12-08,AAPL,112.120003
2016-12-08,PFE,30.940001
2016-12-08,IVR,15.61
2016-12-08,VZ,51.130001
2016-12-07,GRPN,3.96
2016-12-07,AAPL,111.029999
2016-12-07,PFE,31.190001
2016-12-07,IVR,15.62
2016-12-07,VZ,51.380001
2016-12-06,GRPN,3.82
2016-12-06,AAPL,109.949997
2016-12-06,PFE,31.559999
2016-12-06,IVR,15.23
2016-12-06,VZ,50.360001
2016-12-05,GRPN,3.8
2016-12-05,AAPL,109.110001
2016-12-05,PFE,31.59
2016-12-05,IVR,14.86
2016-12-05,VZ,49.75
2016-12-02,GRPN,3.79
2016-12-02,AAPL,109.900002
2016-12-02,PFE,31.629999
2016-12-02,IVR,14.46
2016-12-02,VZ,49.810001
2016-12-01,GRPN,3.75
2016-12-01,AAPL,109.489998
2016-12-01,PFE,31.459999
2016-12-01,IVR,14.54
2016-12-01,VZ,49.869999
2016-11-30,GRPN,3.97
2016-11-30,AAPL,110.519997
2016-11-30,PFE,32.139999
2016-11-30,IVR,14.9
2016-11-30,VZ,49.900002
2017-04-04,GRPN,3.79
2017-04-04,PFE,34.34
2017-04-04,TWO,9.65
2017-04-04,MSFT,65.730003
2017-04-04,AAPL,144.770004
2017-04-04,VZ,49.310001
2017-04-04,IVR,15.53
2017-04-04,%5eTYX,2.993
2017-04-04,%5eTNX,2.35
2017-04-04,%5eGSPC,2360.159912
2017-04-03,GRPN,3.89
2017-04-03,PFE,34.240002
2017-04-03,TWO,9.58
2017-04-03,MSFT,65.550003
2017-04-03,AAPL,143.699997
2017-04-03,VZ,49.18
2017-04-03,IVR,15.38
2017-04-03,%5eTYX,2.985
2017-04-03,%5eTNX,2.35
2017-04-03,%5eGSPC,2358.840088
2017-04-18,IVR,15.94
2017-04-18,PFE,33.84
2017-04-18,VZ,49.220001
2017-04-18,GRPN,3.75
2017-04-18,%5eTYX,2.842
2017-04-18,AAPL,141.199997
2017-04-18,MSFT,65.389999
2017-04-18,%5eTNX,2.179
2017-04-18,TWO,9.97
2017-04-18,%5eGSPC,2342.189941
2017-04-17,IVR,15.91
2017-04-17,PFE,34
2017-04-17,VZ,48.810001
2017-04-17,GRPN,3.65
2017-04-17,%5eTYX,2.913
2017-04-17,AAPL,141.830002
2017-04-17,MSFT,65.480003
2017-04-17,%5eTNX,2.252
2017-04-17,TWO,9.97
2017-04-17,%5eGSPC,2349.01001
2017-04-13,IVR,15.77
2017-04-13,PFE,33.880001
2017-04-13,VZ,48.619999
2017-04-13,GRPN,3.66
2017-04-13,%5eTYX,2.888
2017-04-13,AAPL,141.050003
2017-04-13,MSFT,64.949997
2017-04-13,%5eTNX,2.232
2017-04-13,TWO,9.79
2017-04-13,%5eGSPC,2328.949951
2017-04-12,IVR,15.76
2017-04-12,PFE,33.919998
2017-04-12,VZ,48.919998
2017-04-12,GRPN,3.77
2017-04-12,%5eTYX,2.93
2017-04-12,AAPL,141.800003
2017-04-12,MSFT,65.230003
2017-04-12,%5eTNX,2.296
2017-04-12,TWO,9.76
2017-04-12,%5eGSPC,2344.929932
2017-04-11,IVR,15.84
2017-04-11,PFE,33.93
2017-04-11,VZ,48.700001
2017-04-11,GRPN,3.75
2017-04-11,%5eTYX,2.929
2017-04-11,AAPL,141.630005
2017-04-11,MSFT,65.480003
2017-04-11,%5eTNX,2.298
2017-04-11,TWO,9.78
2017-04-11,%5eGSPC,2353.780029
2017-04-10,IVR,15.66
2017-04-10,PFE,34.040001
2017-04-10,VZ,48.540001
2017-04-10,GRPN,3.75
2017-04-10,%5eTYX,2.987
2017-04-10,AAPL,143.169998
2017-04-10,MSFT,65.529999
2017-04-10,%5eTNX,2.361
2017-04-10,TWO,9.73
2017-04-10,%5eGSPC,2357.159912
2017-04-07,IVR,15.47
2017-04-07,PFE,34.099998
2017-04-07,VZ,48.66
2017-04-07,GRPN,3.74
2017-04-07,%5eTYX,2.998
2017-04-07,AAPL,143.339996
2017-04-07,MSFT,65.68
2017-04-07,%5eTNX,2.373
2017-04-07,TWO,9.63
2017-04-07,%5eGSPC,2355.540039
2017-04-06,IVR,15.57
2017-04-06,PFE,34.110001
2017-04-06,VZ,48.43
2017-04-06,GRPN,3.8
2017-04-06,%5eTYX,2.987
2017-04-06,AAPL,143.660004
2017-04-06,MSFT,65.730003
2017-04-06,%5eTNX,2.343
2017-04-06,TWO,9.64
2017-04-06,%5eGSPC,2357.48999
2017-04-05,IVR,15.39
2017-04-05,PFE,34.189999
2017-04-05,VZ,49.02
2017-04-05,GRPN,3.72
2017-04-05,%5eTYX,3.006
2017-04-05,AAPL,144.020004
2017-04-05,MSFT,65.559998
2017-04-05,%5eTNX,2.357
2017-04-05,TWO,9.6
2017-04-05,%5eGSPC,2352.949951
